gene_id	gene_name	gene_type	bp_length
ENSG00000142621.19	FHAD1	protein_coding	12805
ENSG00000142634.12	EFHD2	protein_coding	2531
ENSG00000132906.17	CASP9	protein_coding	5269
ENSG00000116771.5	AGMAT	protein_coding	2500
ENSG00000116138.12	DNAJC16	protein_coding	8563
ENSG00000215695.1	RSC1A1	protein_coding	1854
ENSG00000197312.11	DDI2	protein_coding	12136
ENSG00000116786.11	PLEKHM2	protein_coding	4122
ENSG00000162461.7	SLC25A34	protein_coding	3195
ENSG00000162460.6	TMEM82	protein_coding	1520
ENSG00000162458.12	FBLIM1	protein_coding	4716
ENSG00000233954.6	UQCRHL	protein_coding	2180
ENSG00000065526.10	SPEN	protein_coding	13294
ENSG00000116809.11	ZBTB17	protein_coding	4240
ENSG00000183888.4	C1orf64	protein_coding	3039
ENSG00000173641.17	HSPB7	protein_coding	3910
ENSG00000186510.11	CLCNKA	protein_coding	3476
ENSG00000184908.17	CLCNKB	protein_coding	2939
ENSG00000185519.8	FAM131C	protein_coding	1701
ENSG00000142627.12	EPHA2	protein_coding	4159
ENSG00000142632.16	ARHGEF19	protein_coding	3745
ENSG00000132881.11	RSG1	protein_coding	1545
ENSG00000037637.10	FBXO42	protein_coding	8984
ENSG00000055070.16	SZRD1	protein_coding	4747
ENSG00000187144.11	SPATA21	protein_coding	4506
ENSG00000157191.19	NECAP2	protein_coding	5559
ENSG00000219481.10	NBPF1	protein_coding	12212
ENSG00000058453.16	CROCC	protein_coding	8871
ENSG00000117122.13	MFAP2	protein_coding	2915
ENSG00000159363.17	ATP13A2	protein_coding	5253
ENSG00000117118.9	SDHB	protein_coding	2462
ENSG00000117115.12	PADI2	protein_coding	5984
ENSG00000142623.9	PADI1	protein_coding	4903
ENSG00000142619.4	PADI3	protein_coding	3189
ENSG00000159339.13	PADI4	protein_coding	2971
ENSG00000179051.13	RCC2	protein_coding	4126
ENSG00000074964.16	ARHGEF10L	protein_coding	7817
ENSG00000117148.7	ACTL8	protein_coding	1864
ENSG00000117154.11	IGSF21	protein_coding	3085
ENSG00000179023.8	KLHDC7A	protein_coding	5145
ENSG00000009709.11	PAX7	protein_coding	6313
ENSG00000159423.16	ALDH4A1	protein_coding	3689
ENSG00000255275.3	RP13-279N23.2	protein_coding	4369
ENSG00000169991.10	IFFO2	protein_coding	6188
ENSG00000127481.14	UBR4	protein_coding	24675
ENSG00000127463.13	EMC1	protein_coding	10650
ENSG00000053372.4	MRTO4	protein_coding	2822
ENSG00000162482.4	AKR7A3	protein_coding	1710
ENSG00000053371.12	AKR7A2	protein_coding	1781
ENSG00000040487.12	PQLC2	protein_coding	2686
ENSG00000077549.17	CAPZB	protein_coding	3238
ENSG00000173436.13	MINOS1	protein_coding	5227
ENSG00000270136.5	MINOS1-NBL1	protein_coding	2493
ENSG00000158747.13	NBL1	protein_coding	3465
ENSG00000158748.3	HTR6	protein_coding	1984
ENSG00000162542.13	TMCO4	protein_coding	4054
ENSG00000178828.6	RNF186	protein_coding	1250
ENSG00000169914.5	OTUD3	protein_coding	6767
ENSG00000188257.10	PLA2G2A	protein_coding	1685
ENSG00000127472.10	PLA2G5	protein_coding	2607
ENSG00000117215.14	PLA2G2D	protein_coding	2681
ENSG00000158786.4	PLA2G2F	protein_coding	6440
ENSG00000187980.6	PLA2G2C	protein_coding	3298
ENSG00000162543.5	UBXN10	protein_coding	5571
ENSG00000158816.15	VWA5B1	protein_coding	6377
ENSG00000162545.5	CAMK2N1	protein_coding	2615
ENSG00000090432.6	MUL1	protein_coding	2438
ENSG00000183114.7	FAM43B	protein_coding	2572
ENSG00000158825.5	CDA	protein_coding	963
ENSG00000158828.7	PINK1	protein_coding	4836
ENSG00000244038.9	DDOST	protein_coding	2721
ENSG00000117245.12	KIF17	protein_coding	4470
ENSG00000189410.11	SH2D5	protein_coding	4423
ENSG00000127483.17	HP1BP3	protein_coding	7442
ENSG00000075151.20	EIF4G3	protein_coding	9596
ENSG00000117298.14	ECE1	protein_coding	7265
ENSG00000142794.18	NBPF3	protein_coding	6812
ENSG00000162551.13	ALPL	protein_coding	3007
ENSG00000076864.19	RAP1GAP	protein_coding	5755
ENSG00000090686.15	USP48	protein_coding	9497
ENSG00000187942.11	LDLRAD2	protein_coding	4490
ENSG00000142798.17	HSPG2	protein_coding	17684
ENSG00000070831.15	CDC42	protein_coding	3598
ENSG00000162552.14	WNT4	protein_coding	4527
ENSG00000184677.16	ZBTB40	protein_coding	8992
ENSG00000070886.11	EPHA8	protein_coding	5358
ENSG00000173372.16	C1QA	protein_coding	1272
ENSG00000159189.11	C1QC	protein_coding	1335
ENSG00000173369.15	C1QB	protein_coding	1601
ENSG00000133216.16	EPHB2	protein_coding	12516
ENSG00000004487.15	KDM1A	protein_coding	5435
ENSG00000169641.13	LUZP1	protein_coding	9658
ENSG00000179546.4	HTR1D	protein_coding	2835
ENSG00000125944.18	HNRNPR	protein_coding	8676
ENSG00000125945.14	ZNF436	protein_coding	4392
ENSG00000204219.9	TCEA3	protein_coding	3515
ENSG00000088280.18	ASAP3	protein_coding	4988
ENSG00000007968.6	E2F2	protein_coding	5457
ENSG00000117318.8	ID3	protein_coding	1797
ENSG00000197880.8	MDS2	protein_coding	2142
ENSG00000142676.12	RPL11	protein_coding	1987
ENSG00000011007.12	ELOA	protein_coding	5391
ENSG00000057757.9	PITHD1	protein_coding	2186
ENSG00000011009.10	LYPLA2	protein_coding	2196
ENSG00000117308.14	GALE	protein_coding	3978
ENSG00000117305.14	HMGCL	protein_coding	5658
ENSG00000179163.11	FUCA1	protein_coding	2047
ENSG00000188822.7	CNR2	protein_coding	5254
ENSG00000189266.11	PNRC2	protein_coding	2564
ENSG00000188529.14	SRSF10	protein_coding	10277
ENSG00000142661.18	MYOM3	protein_coding	9254
ENSG00000142677.3	IL22RA1	protein_coding	2798
ENSG00000185436.11	IFNLR1	protein_coding	4923
ENSG00000158055.15	GRHL3	protein_coding	3940
ENSG00000001460.17	STPG1	protein_coding	8511
ENSG00000001461.16	NIPAL3	protein_coding	9404
ENSG00000117602.11	RCAN3	protein_coding	7077
ENSG00000184454.6	NCMAP	protein_coding	4122
ENSG00000133226.16	SRRM1	protein_coding	8168
ENSG00000169504.14	CLIC4	protein_coding	4495
ENSG00000020633.18	RUNX3	protein_coding	4523
ENSG00000117614.9	SYF2	protein_coding	3370
ENSG00000187010.19	RHD	protein_coding	3313
ENSG00000117616.17	RSRP1	protein_coding	6804
ENSG00000183726.10	TMEM50A	protein_coding	3410
ENSG00000188672.17	RHCE	protein_coding	2433
ENSG00000204178.9	TMEM57	protein_coding	3979
ENSG00000157978.11	LDLRAP1	protein_coding	5397
ENSG00000117643.14	MAN1C1	protein_coding	9026
ENSG00000162430.16	SELENON	protein_coding	4424
ENSG00000255054.3	RP1-317E23.6	protein_coding	792
ENSG00000117640.17	MTFR1L	protein_coding	5817
ENSG00000127423.10	AUNIP	protein_coding	2408
ENSG00000182749.5	PAQR7	protein_coding	3297
ENSG00000117632.22	STMN1	protein_coding	6261
ENSG00000158006.13	PAFAH2	protein_coding	3835
ENSG00000158008.9	EXTL1	protein_coding	4537
ENSG00000158014.14	SLC30A2	protein_coding	3498
ENSG00000158022.6	TRIM63	protein_coding	2573
ENSG00000175087.9	PDIK1L	protein_coding	4535
ENSG00000197245.5	FAM110D	protein_coding	2858
ENSG00000142684.8	ZNF593	protein_coding	769
ENSG00000236782.6	RP11-96L14.7	protein_coding	1721
ENSG00000142675.17	CNKSR1	protein_coding	4043
ENSG00000130695.14	CEP85	protein_coding	5422
ENSG00000142669.14	SH3BGRL3	protein_coding	1786
ENSG00000158062.20	UBXN11	protein_coding	4704
ENSG00000169442.8	CD52	protein_coding	935
ENSG00000176092.14	AIM1L	protein_coding	6051
ENSG00000176083.17	ZNF683	protein_coding	2379
ENSG00000131914.10	LIN28A	protein_coding	4008
ENSG00000117682.16	DHDDS	protein_coding	5596
ENSG00000198830.10	HMGN2	protein_coding	2509
ENSG00000117676.13	RPS6KA1	protein_coding	5884
ENSG00000117713.18	ARID1A	protein_coding	15922
ENSG00000060642.10	PIGV	protein_coding	3382
ENSG00000204160.11	ZDHHC18	protein_coding	5436
ENSG00000175793.11	SFN	protein_coding	1320
ENSG00000142751.14	GPN2	protein_coding	4979
ENSG00000198746.12	GPATCH3	protein_coding	2225
ENSG00000131910.4	NR0B2	protein_coding	1156
ENSG00000090273.13	NUDC	protein_coding	2856
ENSG00000175707.8	KDF1	protein_coding	1793
ENSG00000253368.3	TRNP1	protein_coding	1976
ENSG00000158246.7	FAM46B	protein_coding	2368
ENSG00000090020.10	SLC9A1	protein_coding	5974
ENSG00000142784.15	WDTC1	protein_coding	6024
ENSG00000186501.14	TMEM222	protein_coding	4476
ENSG00000142765.17	SYTL1	protein_coding	5584
ENSG00000142733.14	MAP3K6	protein_coding	4951
ENSG00000142748.12	FCN3	protein_coding	2167
ENSG00000174950.10	CD164L2	protein_coding	2041
ENSG00000181773.6	GPR3	protein_coding	2115
ENSG00000158195.10	WASF2	protein_coding	5676
ENSG00000126705.13	AHDC1	protein_coding	7157
ENSG00000000938.12	FGR	protein_coding	3474
ENSG00000126709.14	IFI6	protein_coding	865
ENSG00000009780.15	FAM76A	protein_coding	4034
ENSG00000117758.13	STX12	protein_coding	3846
ENSG00000117751.17	PPP1R8	protein_coding	2819
ENSG00000130775.15	THEMIS2	protein_coding	4621
ENSG00000117748.9	RPA2	protein_coding	2019
ENSG00000130768.14	SMPDL3B	protein_coding	2670
ENSG00000158156.7	XKR8	protein_coding	2743
ENSG00000158161.15	EYA3	protein_coding	6483
ENSG00000169403.11	PTAFR	protein_coding	4706
ENSG00000126698.10	DNAJC8	protein_coding	2888
ENSG00000130770.17	ATPIF1	protein_coding	2225
ENSG00000130766.4	SESN2	protein_coding	3453
ENSG00000130772.13	MED18	protein_coding	2019
ENSG00000204138.12	PHACTR4	protein_coding	7322
ENSG00000180198.15	RCC1	protein_coding	3888
ENSG00000180098.9	TRNAU1AP	protein_coding	4311
ENSG00000188060.7	RAB42	protein_coding	2200
ENSG00000120656.11	TAF12	protein_coding	2337
ENSG00000162419.12	GMEB1	protein_coding	6459
ENSG00000198492.15	YTHDF2	protein_coding	3859
ENSG00000116329.10	OPRD1	protein_coding	9345
ENSG00000159023.19	EPB41	protein_coding	10739
ENSG00000253304.1	TMEM200B	protein_coding	2639
ENSG00000116350.16	SRSF4	protein_coding	8893
ENSG00000116353.15	MECR	protein_coding	3922
ENSG00000060656.19	PTPRU	protein_coding	6682
ENSG00000162510.5	MATN1	protein_coding	4606
ENSG00000162511.7	LAPTM5	protein_coding	3274
ENSG00000162512.15	SDC3	protein_coding	7067
ENSG00000134644.15	PUM1	protein_coding	6621
ENSG00000084628.9	NKAIN1	protein_coding	2987
ENSG00000060688.12	SNRNP40	protein_coding	3881
ENSG00000121766.15	ZCCHC17	protein_coding	1921
ENSG00000121769.7	FABP3	protein_coding	1026
ENSG00000168528.11	SERINC2	protein_coding	3549
ENSG00000142910.15	TINAGL1	protein_coding	5281
ENSG00000121764.11	HCRTR1	protein_coding	2558
ENSG00000162517.12	PEF1	protein_coding	2227
ENSG00000084636.17	COL16A1	protein_coding	9269
ENSG00000121753.12	ADGRB2	protein_coding	7756
ENSG00000134668.12	SPOCD1	protein_coding	7085
ENSG00000184007.18	PTP4A2	protein_coding	6267
ENSG00000121774.17	KHDRBS1	protein_coding	3588
ENSG00000121775.17	TMEM39B	protein_coding	2820
ENSG00000025800.13	KPNA6	protein_coding	7480
ENSG00000084652.15	TXLNA	protein_coding	5103
ENSG00000160050.14	CCDC28B	protein_coding	2818
ENSG00000160051.11	IQCC	protein_coding	2478
ENSG00000222046.2	DCDC2B	protein_coding	1869
ENSG00000160055.19	TMEM234	protein_coding	3571
ENSG00000084623.11	EIF3I	protein_coding	1725
ENSG00000183615.5	FAM167B	protein_coding	936
ENSG00000182866.16	LCK	protein_coding	3339
ENSG00000116478.11	HDAC1	protein_coding	3963
ENSG00000175130.6	MARCKSL1	protein_coding	1699
ENSG00000225828.1	FAM229A	protein_coding	2845
ENSG00000162526.6	TSSK3	protein_coding	2191
ENSG00000160058.18	BSDC1	protein_coding	6271
ENSG00000273274.1	ZBTB8B	protein_coding	12834
ENSG00000254553.1	RP1-27O5.3	protein_coding	3447
ENSG00000160062.14	ZBTB8A	protein_coding	7075
ENSG00000176261.15	ZBTB8OS	protein_coding	3531
ENSG00000162521.18	RBBP4	protein_coding	9470
ENSG00000162520.14	SYNC	protein_coding	3487
ENSG00000162522.10	KIAA1522	protein_coding	5965
ENSG00000134684.10	YARS	protein_coding	8212
ENSG00000116497.17	S100PBP	protein_coding	9194
ENSG00000160097.16	FNDC5	protein_coding	3139
ENSG00000121905.9	HPCA	protein_coding	1991
ENSG00000121900.18	TMEM54	protein_coding	1417
ENSG00000116514.16	RNF19B	protein_coding	2610
ENSG00000004455.16	AK2	protein_coding	5727
ENSG00000142920.16	AZIN2	protein_coding	6559
ENSG00000116525.13	TRIM62	protein_coding	3646
ENSG00000160094.14	ZNF362	protein_coding	3331
ENSG00000134686.18	PHC2	protein_coding	4975
ENSG00000121903.14	ZSCAN20	protein_coding	5308
ENSG00000121904.17	CSMD2	protein_coding	18157
ENSG00000142698.14	C1orf94	protein_coding	2576
ENSG00000189280.3	GJB5	protein_coding	1355
ENSG00000189433.5	GJB4	protein_coding	2840
ENSG00000188910.7	GJB3	protein_coding	2387
ENSG00000187513.8	GJA4	protein_coding	1717
ENSG00000163866.8	SMIM12	protein_coding	8091
ENSG00000116544.11	DLGAP3	protein_coding	3977
ENSG00000243749.1	TMEM35B	protein_coding	922
ENSG00000271741.1	RP11-244H3.4	protein_coding	3099
ENSG00000163867.16	ZMYM6	protein_coding	9591
ENSG00000197056.9	ZMYM1	protein_coding	4828
ENSG00000116560.10	SFPQ	protein_coding	7426
ENSG00000146463.11	ZMYM4	protein_coding	7647
ENSG00000142687.17	KIAA0319L	protein_coding	9629
ENSG00000020129.15	NCDN	protein_coding	4917
ENSG00000116819.6	TFAP2E	protein_coding	2189
ENSG00000126067.11	PSMB2	protein_coding	4843
ENSG00000142686.7	C1orf216	protein_coding	3629
ENSG00000092853.13	CLSPN	protein_coding	5411
ENSG00000134698.10	AGO4	protein_coding	7267
ENSG00000092847.11	AGO1	protein_coding	13886
ENSG00000126070.19	AGO3	protein_coding	21157
ENSG00000092850.11	TEKT2	protein_coding	1978
ENSG00000116863.10	ADPRHL2	protein_coding	1668
ENSG00000171812.12	COL8A2	protein_coding	4670
ENSG00000054116.11	TRAPPC3	protein_coding	3527
ENSG00000116871.15	MAP7D1	protein_coding	5271
ENSG00000054118.13	THRAP3	protein_coding	4736
ENSG00000142694.6	EVA1B	protein_coding	1211
ENSG00000214193.10	SH3D21	protein_coding	4474
ENSG00000196182.10	STK40	protein_coding	5590
ENSG00000181817.5	LSM10	protein_coding	1496
ENSG00000116885.18	OSCP1	protein_coding	2788
ENSG00000116898.11	MRPS15	protein_coding	2916
ENSG00000119535.17	CSF3R	protein_coding	8429
ENSG00000163873.9	GRIK3	protein_coding	10111
ENSG00000163874.10	ZC3H12A	protein_coding	3121
ENSG00000163875.15	MEAF6	protein_coding	3487
ENSG00000163877.10	SNIP1	protein_coding	5769
ENSG00000163879.10	DNALI1	protein_coding	4456
ENSG00000134697.12	GNL2	protein_coding	5745
ENSG00000169218.13	RSPO1	protein_coding	3089
ENSG00000116922.14	C1orf109	protein_coding	4434
ENSG00000134690.10	CDCA8	protein_coding	2469
ENSG00000183317.16	EPHA10	protein_coding	8152
ENSG00000185090.14	MANEAL	protein_coding	3018
ENSG00000196449.3	YRDC	protein_coding	1826
ENSG00000197982.13	C1orf122	protein_coding	2231
ENSG00000188786.9	MTF1	protein_coding	8024
ENSG00000204084.12	INPP5B	protein_coding	8930
ENSG00000183431.11	SF3A3	protein_coding	4740
ENSG00000183386.9	FHL3	protein_coding	2004
ENSG00000183520.11	UTP11	protein_coding	3385
ENSG00000185668.7	POU3F1	protein_coding	2184
ENSG00000116954.7	RRAGC	protein_coding	5167
ENSG00000214114.8	MYCBP	protein_coding	3039
ENSG00000131233.9	GJA9	protein_coding	2057
ENSG00000274944.4	RP5-864K19.6	protein_coding	3251
ENSG00000158315.10	RHBDL2	protein_coding	2795
ENSG00000174574.15	AKIRIN1	protein_coding	2741
ENSG00000168653.10	NDUFS5	protein_coding	548
ENSG00000127603.23	MACF1	protein_coding	43102
ENSG00000183682.7	BMP8A	protein_coding	1692
ENSG00000090621.13	PABPC4	protein_coding	6782
ENSG00000163909.7	HEYL	protein_coding	3661
ENSG00000116981.3	NT5C1A	protein_coding	1107
ENSG00000116983.12	HPCAL4	protein_coding	4962
ENSG00000084072.16	PPIE	protein_coding	8071
ENSG00000198754.5	OXCT2	protein_coding	1826
ENSG00000116985.11	BMP8B	protein_coding	4822
ENSG00000043514.15	TRIT1	protein_coding	2663
ENSG00000116990.10	MYCL	protein_coding	5063
ENSG00000168389.17	MFSD2A	protein_coding	4007
ENSG00000131236.16	CAP1	protein_coding	3814
ENSG00000131238.16	PPT1	protein_coding	3306
ENSG00000117000.8	RLF	protein_coding	6246
ENSG00000084073.8	ZMPSTE24	protein_coding	3572
ENSG00000049089.13	COL9A2	protein_coding	4151
ENSG00000084070.11	SMAP2	protein_coding	3631
ENSG00000187801.14	ZFP69B	protein_coding	2386
ENSG00000187815.9	ZFP69	protein_coding	3248
ENSG00000164002.11	EXO5	protein_coding	3092
ENSG00000117010.15	ZNF684	protein_coding	3039
ENSG00000117016.9	RIMS3	protein_coding	7235
ENSG00000066136.20	NFYC	protein_coding	5990
ENSG00000117013.14	KCNQ4	protein_coding	4183
ENSG00000179862.6	CITED4	protein_coding	1316
ENSG00000171793.13	CTPS1	protein_coding	5462
ENSG00000171790.15	SLFNL1	protein_coding	4310
ENSG00000010803.16	SCMH1	protein_coding	4447
ENSG00000204060.6	FOXO6	protein_coding	2398
ENSG00000127129.9	EDN2	protein_coding	1639
ENSG00000127124.14	HIVEP3	protein_coding	14218
ENSG00000198815.8	FOXJ3	protein_coding	6893
ENSG00000177181.14	RIMKLA	protein_coding	8981
ENSG00000066185.12	ZMYND12	protein_coding	2195
ENSG00000127125.8	PPCS	protein_coding	2590
ENSG00000186409.14	CCDC30	protein_coding	13504
ENSG00000171960.10	PPIH	protein_coding	1444
ENSG00000065978.18	YBX1	protein_coding	1930
ENSG00000164007.10	CLDN19	protein_coding	3602
ENSG00000117385.15	P3H1	protein_coding	6766
ENSG00000164008.14	C1orf50	protein_coding	1522
ENSG00000283580.1	RP5-994D16.12	protein_coding	1348
ENSG00000274386.5	TMEM269	protein_coding	4373
ENSG00000177868.11	SVBP	protein_coding	1208
ENSG00000164010.13	ERMAP	protein_coding	4631
ENSG00000164011.17	ZNF691	protein_coding	2036
ENSG00000117394.20	SLC2A1	protein_coding	4721
ENSG00000186973.10	FAM183A	protein_coding	843
ENSG00000243710.7	CFAP57	protein_coding	5764
ENSG00000117395.12	EBNA1BP2	protein_coding	3561
ENSG00000179178.10	TMEM125	protein_coding	2127
ENSG00000253313.5	C1orf210	protein_coding	1516
ENSG00000066056.13	TIE1	protein_coding	6694
ENSG00000117399.13	CDC20	protein_coding	2038
ENSG00000066322.14	ELOVL1	protein_coding	2507
ENSG00000159479.16	MED8	protein_coding	2704
